"","protein","orthogroup","Gene"
"2706","P53121","S+LYT","YGL139W"
"2707","P53122","S+LYT","YGL138C"
"2708","P53123","S+LYT","YGL136C"
"2709","P53125","S+LYT","YGL133W"
"2710","P53127","S+LYT","YGL131C"
"2711","P53128","S+LYT","YGL125W"
"2712","P53129","S+LYT","YGL124C"
"2713","P53131","S+LYT","YGL120C"
"2714","P53134","S+LYT","YGL114W"
"2715","P53136","S+LYT","YGL111W"
"2716","P53137","S+LYT","YGL110C"
"2717","P53141","S+LYT","YGL106W"
"2718","P53142","S+LYT","YGL104C"
"2719","P53144","S+LYT","YGL101W"
"2720","P53145","S+LYT","YGL099W"
"2721","P53146","S+LYT","YGL098W"
"2722","P53147","S+LYT","YGL096W"
"2723","P53152","S+LYT","YGL087C"
"2724","P53153","S+LYT","YGL085W"
"2725","P53154","S+LYT","YGL084C"
"2726","P53155","S+LYT","YGL082W"
"2727","P53157","S+LYT","YGL080W"
"2728","P53158","S+LYT","YGL079W"
"2729","P53163","S+LYT","YGL068W"
"2730","P53164","S+LYT","YGL067W"
"2731","P53165","S+LYT","YGL066W"
"2732","P53166","S+LYT","YGL064C"
"2733","P53169","S+LYT","YGL060W"
"2734","P53170","S+LYT","YGL059W"
"2735","P53172","S+LYT","YGL056C"
"2736","P53173","S+LYT","YGL054C"
"2737","P53177","S+LYT","YGL050W"
"2738","P53178","S+LYT","YGL047W"
"2739","P53179","S+LYT","YGL045W"
"2740","P53183","S+LYT","YGL039W"
"2741","P53184","S+LYT","YGL037C"
"2742","P53187","S+LYT","YGL033W"
"2743","P53189","S+LYT","YGL028C"
"2744","P53191","S+LYT","YGL023C"
"2745","P53192","S+LYT","YGL020C"
"2746","P53193","S+LYT","YGL018C"
"2747","P53196","S+LYT","YGL004C"
"2748","P53197","S+LYT","YGL003C"
"2749","P53198","S+LYT","YGL002W"
"2750","P53199","S+LYT","YGL001C"
"2751","P53200","S+LYT","YGR001C"
"2752","P53201","S+LYT","YGR002C"
"2753","P53202","S+LYT","YGR003W"
"2754","P53203","S+LYT","YGR004W"
"2755","P53204","S+LYT","YGR010W"
"2756","P53206","S+LYT","YGR012W"
"2757","P53207","S+LYT","YGR013W"
"2758","P53210","S+LYT","YGR017W"
"2759","P53212","S+LYT","YGR021W"
"2760","P53215","S+LYT","YGR024C"
"2761","P53217","S+LYT","YGR026W"
"2762","P53219","S+LYT","YGR031W"
"2763","P53220","S+LYT","YGR033C"
"2764","P53221","S+LYT","YGR034W"
"2765","P53223","S+LYT","YGR036C"
"2766","P53224","S+LYT","YGR038W"
"2767","P53230","S+LYT","YGR046W"
"2768","P53234","S+LYT","YGR053C"
"2769","P53235","S+LYT","YGR054W"
"2770","P53236","S+LYT","YGR056W"
"2771","P53238","S+LYT","YGR058W"
"2772","P53239","S+LYT","YGR062C"
"2773","P53242","S+LYT","YGR066C"
"2774","P53250","S+LYT","YGR080W"
"2775","P53251","S+LYT","YGR081C"
"2776","P53252","S+LYT","YGR086C"
"2777","P53253","S+LYT","YGR089W"
"2778","P53254","S+LYT","YGR090W"
"2779","P53255","S+LYT","YGR093W"
"2780","P53256","S+LYT","YGR095C"
"2781","P53257","S+LYT","YGR096W"
"2782","P53258","S+LYT","YGR100W"
"2783","P53259","S+LYT","YGR101W"
"2784","P53261","S+LYT","YGR103W"
"2785","P53264","S+LYT","YGR110W"
"2786","P53265","S+LYT","YGR111W"
"2787","P53266","S+LYT","YGR112W"
"2788","P53267","S+LYT","YGR113W"
"2789","P53273","S+LYT","YGR125W"
"2790","P53275","S+LYT","YGR127W"
"2791","P53276","S+LYT","YGR128C"
"2792","P53277","S+LYT","YGR129W"
"2793","P53279","S+LYT","YGR131W"
"2794","P53281","S+LYT","YGR136W"
"2795","P53283","S+LYT","YGR138C"
"2796","P53285","S+LYT","YGR141W"
"2797","P53290","S+LYT","YGR163W"
"2798","P53292","S+LYT","YGR165W"
"2799","P53294","S+LYT","YGR169C"
"2800","P53295","S+LYT","YGR173W"
"2801","P53297","S+LYT","YGR178C"
"2802","P53299","S+LYT","YGR181W"
"2803","P53301","S+LYT","YGR189C"
"2804","P53303","S+LYT","YGR211W"
"2805","P53304","S+LYT","YGR212W"
"2806","P53305","S+LYT","YGR215W"
"2807","P53306","S+LYT","YGR216C"
"2808","P53309","S+LYT","YGR241C"
"2809","P53311","S+LYT","YGR243W"
"2810","P53312","S+LYT","YGR244C"
"2811","P53313","S+LYT","YGR245C"
"2812","P53314","S+LYT","YGR247W"
"2813","P53315","S+LYT","YGR248W"
"2814","P53318","S+LYT","YGR255C"
"2815","P53319","S+LYT","YGR256W"
"2816","P53320","S+LYT","YGR257C"
"2817","P53322","S+LYT","YGR260W"
"2818","P53323","S+LYT","YGR262C"
"2819","P53324","S+LYT","YGR263C"
"2820","P53326","S+LYT","YGR266W"
"2821","P53327","S+LYT","YGR271W"
"2822","P53329","S+LYT","YGR273C"
"2823","P53331","S+LYT","YGR276C"
"2824","P53332","S+LYT","YGR277C"
"2825","P53333","S+LYT","YGR278W"
"2826","P53334","S+LYT","YGR279C"
"2827","P53335","S+LYT","YGR280C"
"2828","P53336","S+LYT","YGR283C"
"2829","P53337","S+LYT","YGR284C"
"2830","P53338","S+LYT","YGR288W"
"2831","P53341","S+LYT","YGR292W"
"2832","P53378","S+LYT","YLR212C"
"2833","P53379","S+LYT","YDR144C"
"2834","P53388","S+LYT","YPL265W"
"2835","P53389","S+LYT","YNR055C"
"2836","P53390","S+LYT","YPR138C"
"2837","P53394","S+LYT","YPR003C"
"2838","P53397","S+LYT","YML060W"
"2839","P53438","S+LYT","YMR016C"
"2840","P53507","S+LYT","YNL070W"
"2841","P53538","S+LYT","YNL222W"
"2842","P53540","S+LYT","YNL126W"
"2843","P53549","S+LYT","YOR259C"
"2844","P53550","S+LYT","YNL118C"
"2845","P53551","S+LYT","YPL127C"
"2846","P53552","S+LYT","YNL139C"
"2847","P53584","S+LYT","YNL237W"
"2848","P53598","S+LYT","YOR142W"
"2849","P53599","S+LYT","YNR031C"
"2850","P53600","S+LYT","YPL010W"
"2851","P53615","S+LYT","YNL036W"
"2852","P53616","S+LYT","YNL066W"
"2853","P53617","S+LYT","YNL251C"
"2854","P53622","S+LYT","YDL145C"
"2855","P53628","S+LYT","YNR023W"
"2856","P53629","S+LYT","YNR019W"
"2857","P53631","S+LYT","YNR072W"
"2858","P53632","S+LYT","YOL115W"
"2859","P53633","S+LYT","YNL044W"
"2860","P53685","S+LYT","YOL068C"
"2861","P53686","S+LYT","YPL015C"
"2862","P53687","S+LYT","YOR025W"
"2863","P53688","S+LYT","YDR191W"
"2864","P53691","S+LYT","YLR216C"
"2865","P53720","S+LYT","YNR015W"
"2866","P53721","S+LYT","YNR018W"
"2867","P53722","S+LYT","YNR020C"
"2868","P53723","S+LYT","YNR021W"
"2869","P53727","S+LYT","YNR027W"
"2870","P53729","S+LYT","YNR029C"
"2871","P53730","S+LYT","YNR030W"
"2872","P53731","S+LYT","YNR035C"
"2873","P53732","S+LYT","YNR036C"
"2874","P53733","S+LYT","YNR037C"
"2875","P53734","S+LYT","YNR038W"
"2876","P53735","S+LYT","YNR039C"
"2877","P53738","S+LYT","YNR046W"
"2878","P53740","S+LYT","YNR048W"
"2879","P53741","S+LYT","YNR051C"
"2880","P53742","S+LYT","YNR053C"
"2881","P53743","S+LYT","YNR054C"
"2882","P53744","S+LYT","YNR056C"
"2883","P53746","S+LYT","YNR060W"
"2884","P53749","S+LYT","YNR063W"
"2885","P53750","S+LYT","YNR064C"
"2886","P53751","S+LYT","YNR065C"
"2887","P53753","S+LYT","YNR067C"
"2888","P53757","S+LYT","YNR071C"
"2889","P53759","S+LYT","YML080W"
"2890","P53769","S+LYT","YLR323C"
"2891","P53823","S+LYT","YNL334C"
"2892","P53824","S+LYT","YNL333W"
"2893","P53829","S+LYT","YNL288W"
"2894","P53830","S+LYT","YNL286W"
"2895","P53832","S+LYT","YNL283C"
"2896","P53835","S+LYT","YNL279W"
"2897","P53836","S+LYT","YNL278W"
"2898","P53838","S+LYT","YNL275W"
"2899","P53839","S+LYT","YNL274C"
"2900","P53840","S+LYT","YNL273W"
"2901","P53843","S+LYT","YNL265C"
"2902","P53845","S+LYT","YNL263C"
"2903","P53848","S+LYT","YNL256W"
"2904","P53852","S+LYT","YNL247W"
"2905","P53853","S+LYT","YNL246W"
"2906","P53854","S+LYT","YNL245C"
"2907","P53855","S+LYT","YNL242W"
"2908","P53857","S+LYT","YNL234W"
"2909","P53858","S+LYT","YNL233W"
"2910","P53859","S+LYT","YNL232W"
"2911","P53860","S+LYT","YNL231C"
"2912","P53861","S+LYT","YNL230C"
"2913","P53863","S+LYT","YNL227C"
"2914","P53866","S+LYT","YNL224C"
"2915","P53867","S+LYT","YNL223W"
"2916","P53868","S+LYT","YNL219C"
"2917","P53869","S+LYT","YNL211C"
"2918","P53870","S+LYT","YNL193W"
"2919","P53871","S+LYT","YNL191W"
"2920","P53874","S+LYT","YNL186W"
"2921","P53875","S+LYT","YNL185C"
"2922","P53877","S+LYT","YNL182C"
"2923","P53878","S+LYT","YNL181W"
"2924","P53881","S+LYT","YNL177C"
"2925","P53883","S+LYT","YNL175C"
"2926","P53885","S+LYT","YNL173C"
"2927","P53886","S+LYT","YNL172W"
"2928","P53889","S+LYT","YNL168C"
"2929","P53891","S+LYT","YNL165W"
"2930","P53893","S+LYT","YNL163C"
"2931","P53894","S+LYT","YNL161W"
"2932","P53897","S+LYT","YNL157W"
"2933","P53898","S+LYT","YNL156C"
"2934","P53899","S+LYT","YNL155W"
"2935","P53900","S+LYT","YNL153C"
"2936","P53904","S+LYT","YNL148C"
"2937","P53905","S+LYT","YNL147W"
"2938","P53907","S+LYT","YNL144C"
"2939","P53909","S+LYT","YNL141W"
"2940","P53911","S+LYT","YNL136W"
"2941","P53912","S+LYT","YNL134C"
"2942","P53914","S+LYT","YNL132W"
"2943","P53915","S+LYT","YNL129W"
"2944","P53916","S+LYT","YNL128W"
"2945","P53917","S+LYT","YNL127W"
"2946","P53918","S+LYT","YNL125C"
"2947","P53919","S+LYT","YNL124W"
"2948","P53920","S+LYT","YNL123W"
"2949","P53921","S+LYT","YNL122C"
"2950","P53923","S+LYT","YNL119W"
"2951","P53924","S+LYT","YNL116W"
"2952","P53925","S+LYT","YNL115C"
"2953","P53927","S+LYT","YNL110C"
"2954","P53929","S+LYT","YNL108C"
"2955","P53930","S+LYT","YNL107W"
"2956","P53932","S+LYT","YNL095C"
"2957","P53933","S+LYT","YNL094W"
"2958","P53934","S+LYT","YNL092W"
"2959","P53935","S+LYT","YNL091W"
"2960","P53937","S+LYT","YNL081C"
"2961","P53938","S+LYT","YNL080C"
"2962","P53941","S+LYT","YNL075W"
"2963","P53942","S+LYT","YNL072W"
"2964","P53943","S+LYT","YNL065W"
"2965","P53944","S+LYT","YNL063W"
"2966","P53946","S+LYT","YNL059C"
"2967","P53947","S+LYT","YNL058C"
"2968","P53949","S+LYT","YNL056W"
"2969","P53950","S+LYT","YNL054W"
"2970","P53951","S+LYT","YNL051W"
"2971","P53953","S+LYT","YNL049C"
"2972","P53954","S+LYT","YNL048W"
"2973","P53955","S+LYT","YNL047C"
"2974","P53959","S+LYT","YNL041C"
"2975","P53960","S+LYT","YNL040W"
"2976","P53961","S+LYT","YNL038W"
"2977","P53962","S+LYT","YNL035C"
"2978","P53965","S+LYT","YNL032W"
"2979","P53966","S+LYT","YNL029C"
"2980","P53968","S+LYT","YNL027W"
"2981","P53969","S+LYT","YNL026W"
"2982","P53970","S+LYT","YNL024C"
"2983","P53971","S+LYT","YNL023C"
"2984","P53972","S+LYT","YNL022C"
"2985","P53973","S+LYT","YNL021W"
"2986","P53974","S+LYT","YNL020C"
"2987","P53978","S+LYT","YNL014W"
"2988","P53980","S+LYT","YNL011C"
"2989","P53981","S+LYT","YNL010W"
"2990","P53983","S+LYT","YNL008C"
"2991","P54000","S+LYT","YMR039C"
"2992","P54003","S+LYT","YML052W"
"2993","P54005","S+LYT","YMR316W"
"2994","P54007","S+LYT","YLR460C"
"2995","P54072","S+LYT","YLR152C"
"2996","P54074","S+LYT","YMR119W"
"2997","P54113","S+LYT","YLR028C"
"2998","P54114","S+LYT","YMR169C"
"2999","P54115","S+LYT","YPL061W"
"3000","P54199","S+LYT","YDL028C"
"3001","P54730","S+LYT","YMR067C"
"3002","P54780","S+LYT","YMR121C"
"3003","P54781","S+LYT","YMR015C"
"3004","P54783","S+LYT","YML086C"
"3005","P54784","S+LYT","YML065W"
"3006","P54786","S+LYT","YML109W"
"3007","P54787","S+LYT","YML097C"
"3008","P54790","S+LYT","YLL004W"
"3009","P54791","S+LYT","YPR162C"
"3010","P54837","S+LYT","YML012W"
"3011","P54838","S+LYT","YML070W"
"3012","P54839","S+LYT","YML126C"
"3013","P54854","S+LYT","YDL245C"
"3014","P54857","S+LYT","YDR058C"
"3015","P54858","S+LYT","YDR068W"
"3016","P54860","S+LYT","YDL190C"
"3017","P54861","S+LYT","YLL001W"
"3018","P54862","S+LYT","YOL156W"
"3019","P54867","S+LYT","YOR008C"
"3020","P54885","S+LYT","YOR323C"
"3021","P54964","S+LYT","YLR059C"
"3022","P54999","S+LYT","YPR182W"
"3023","P56508","S+LYT","YDR525W-A"
"3024","P56628","S+LYT","YFL034C-A"
"3025","P57743","S+LYT","YLR438C-A"
"3026","P57744","S+LYT","YJR135W-A"
"3027","P60010","S+LYT","YFL039C"
"3028","P61829","S+LYT","Q0130"
"3029","P61830","S+LYT","YBR010W, YNL031C"
"3030","P69771","S+LYT","YKR035W-A"
"3031","P69850","S+LYT","YBR233W-A"
"3032","P69851","S+LYT","YDR320C-A"
"3033","P80210","S+LYT","YNL220W"
"3034","P80235","S+LYT","YAR035W"
"3035","P80428","S+LYT","YJL081C"
"3036","P80667","S+LYT","YLR191W"
"3037","P81449","S+LYT","YDR322C-A"
"3038","P81450","S+LYT","YML081C-A"
"3039","P81451","S+LYT","YOL077W-A"
"3040","P87012","S+LYT","YCL001W-A"
"3041","P87108","S+LYT","YHR005C-A"
"3042","P87262","S+LYT","YER056C-A"
"3043","P87275","S+LYT","YER093C-A"
"3044","P87284","S+LYT","YDR276C"
"3045","P89102","S+LYT","YDR166C"
"3046","P89105","S+LYT","YOL145C"
"3047","P89886","S+LYT","YER007C-A"
"3048","Q00055","S+LYT","YDL022W"
"3049","Q00245","S+LYT","YIL118W"
"3050","Q00362","S+LYT","YGL190C"
"3051","Q00381","S+LYT","YJR058C"
"3052","Q00402","S+LYT","YDR150W"
"3053","Q00416","S+LYT","YLR430W"
"3054","Q00453","S+LYT","YMR182C"
"3055","Q00539","S+LYT","YHR086W"
"3056","Q00578","S+LYT","YIL143C"
"3057","Q00582","S+LYT","YML121W"
"3058","Q00618","S+LYT","YJL031C"
"3059","Q00684","S+LYT","YFR028C"
"3060","Q00711","S+LYT","YKL148C"
"3061","Q00764","S+LYT","YBR126C"
"3062","Q00772","S+LYT","YHR030C"
"3063","Q00776","S+LYT","YPL259C"
"3064","Q00816","S+LYT","YDR028C"
"3065","Q00873","S+LYT","YKL087C"
"3066","Q00916","S+LYT","YIL061C"
"3067","Q00947","S+LYT","YDR463W"
"3068","Q00955","S+LYT","YNR016C"
"3069","Q01080","S+LYT","YNL248C"
"3070","Q01159","S+LYT","YGL130W"
"3071","Q01163","S+LYT","YGL129C"
"3072","Q01217","S+LYT","YER069W"
"3073","Q01329","S+LYT","YAL043C"
"3074","Q01389","S+LYT","YJL095W"
"3075","Q01448","S+LYT","YBR215W"
"3076","Q01454","S+LYT","YPR135W"
"3077","Q01476","S+LYT","YOR124C"
"3078","Q01477","S+LYT","YER151C"
"3079","Q01519","S+LYT","YLR038C"
"3080","Q01532","S+LYT","YNL239W"
"3081","Q01560","S+LYT","YDR432W"
"3082","Q01590","S+LYT","YLR026C"
"3083","Q01662","S+LYT","YLR244C"
"3084","Q01846","S+LYT","YML104C"
"3085","Q01852","S+LYT","YIL022W"
"3086","Q01855","S+LYT","YOL040C"
"3087","Q01896","S+LYT","YDR039C"
"3088","Q01919","S+LYT","YOR233W"
"3089","Q01939","S+LYT","YGL048C"
"3090","Q01976","S+LYT","YBR111C"
"3091","Q02046","S+LYT","YKR080W"
"3092","Q02100","S+LYT","YNL167C"
"3093","Q02159","S+LYT","YMR022W"
"3094","Q02196","S+LYT","YKL001C"
"3095","Q02197","S+LYT","YEL053C"
"3096","Q02199","S+LYT","YGL172W"
"3097","Q02201","S+LYT","YKR003W"
"3098","Q02206","S+LYT","YKR008W"
"3099","Q02207","S+LYT","YKR009C"
"3100","Q02208","S+LYT","YKR010C"
"3101","Q02256","S+LYT","YIR026C"
"3102","Q02260","S+LYT","YGR074W"
"3103","Q02326","S+LYT","YML073C"
"3104","Q02336","S+LYT","YDR448W"
"3105","Q02354","S+LYT","YDR449C"
"3106","Q02455","S+LYT","YKR095W"
"3107","Q02457","S+LYT","YPL128C"
"3108","Q02516","S+LYT","YOR358W"
"3109","Q02521","S+LYT","YOR148C"
"3110","Q02554","S+LYT","YMR240C"
"3111","Q02555","S+LYT","YMR239C"
"3112","Q02606","S+LYT","YPL014W"
"3113","Q02608","S+LYT","YPL013C"
"3114","Q02629","S+LYT","YKL068W"
"3115","Q02630","S+LYT","YMR047C"
"3116","Q02642","S+LYT","YPL037C"
"3117","Q02647","S+LYT","YDR424C"
"3118","Q02648","S+LYT","YPL030W"
"3119","Q02710","S+LYT","YPL021W"
"3120","Q02724","S+LYT","YPL020C"
"3121","Q02725","S+LYT","YPL019C"
"3122","Q02753","S+LYT","YBR191W"
"3123","Q02754","S+LYT","YPL067C"
"3124","Q02767","S+LYT","YPL065W"
"3125","Q02770","S+LYT","YPL064C"
"3126","Q02771","S+LYT","YER058W"
"3127","Q02772","S+LYT","YJR034W"
"3128","Q02774","S+LYT","YDL212W"
"3129","Q02775","S+LYT","YDR088C"
"3130","Q02776","S+LYT","YPL063W"
"3131","Q02783","S+LYT","YPL060W"
"3132","Q02784","S+LYT","YPL059W"
"3133","Q02785","S+LYT","YPL058C"
"3134","Q02792","S+LYT","YOR048C"
"3135","Q02793","S+LYT","YGL213C"
"3136","Q02794","S+LYT","YOR047C"
"3137","Q02795","S+LYT","YMR149W"
"3138","Q02799","S+LYT","YPL054W"
"3139","Q02804","S+LYT","YPL051W"
"3140","Q02805","S+LYT","YOR018W"
"3141","Q02820","S+LYT","YJL205C"
"3142","Q02821","S+LYT","YNL189W"
"3143","Q02825","S+LYT","YPL083C"
"3144","Q02863","S+LYT","YPL072W"
"3145","Q02873","S+LYT","YPL107W"
"3146","Q02875","S+LYT","YPL105C"
"3147","Q02883","S+LYT","YPL103C"
"3148","Q02884","S+LYT","YPL101W"
"3149","Q02888","S+LYT","YPL099C"
"3150","Q02889","S+LYT","YPL098C"
"3151","Q02890","S+LYT","YPL096W"
"3152","Q02891","S+LYT","YPL095C"
"3153","Q02892","S+LYT","YPL093W"
"3154","Q02895","S+LYT","YPL088W"
"3155","Q02896","S+LYT","YPL087W"
"3156","Q02908","S+LYT","YPL086C"
"3157","Q02931","S+LYT","YPL126W"
"3158","Q02932","S+LYT","YPL125W"
"3159","Q02933","S+LYT","YPL123C"
"3160","Q02939","S+LYT","YPL122C"
"3161","Q02948","S+LYT","YPL120W"
"3162","Q02950","S+LYT","YPL118W"
"3163","Q02959","S+LYT","YPL116W"
"3164","Q02961","S+LYT","YPL113C"
"3165","Q02979","S+LYT","YPL110C"
"3166","Q02981","S+LYT","YPL109C"
"3167","Q03012","S+LYT","YPL138C"
"3168","Q03016","S+LYT","YPL137C"
"3169","Q03018","S+LYT","YGR098C"
"3170","Q03020","S+LYT","YPL135W"
"3171","Q03028","S+LYT","YPL134C"
"3172","Q03034","S+LYT","YDR539W"
"3173","Q03048","S+LYT","YLL050C"
"3174","Q03049","S+LYT","YDR541C"
"3175","Q03067","S+LYT","YPL047W"
"3176","Q03071","S+LYT","YPL046C"
"3177","Q03079","S+LYT","YPL041C"
"3178","Q03081","S+LYT","YPL038W"
"3179","Q03088","S+LYT","YPL032C"
"3180","Q03102","S+LYT","YML131W"
"3181","Q03103","S+LYT","YML130C"
"3182","Q03104","S+LYT","YML128C"
"3183","Q03124","S+LYT","YML127W"
"3184","Q03125","S+LYT","YDR043C"
"3185","Q03144","S+LYT","YMR095C"
"3186","Q03148","S+LYT","YMR096W"
"3187","Q03151","S+LYT","YMR097C"
"3188","Q03153","S+LYT","YMR098C"
"3189","Q03161","S+LYT","YMR099C"
"3190","Q03162","S+LYT","YMR100W"
"3191","Q03177","S+LYT","YMR102C"
"3192","Q03178","S+LYT","YKL164C"
"3193","Q03180","S+LYT","YKL163W"
"3194","Q03193","S+LYT","YDR090C"
"3195","Q03195","S+LYT","YDR091C"
"3196","Q03201","S+LYT","YDR041W"
"3197","Q03210","S+LYT","YML118W"
"3198","Q03212","S+LYT","YMR171C"
"3199","Q03214","S+LYT","YMR176W"
"3200","Q03218","S+LYT","YMR177W"
"3201","Q03219","S+LYT","YMR178W"
"3202","Q03246","S+LYT","YMR188C"
"3203","Q03254","S+LYT","YMR277W"
"3204","Q03262","S+LYT","YMR278W"
"3205","Q03263","S+LYT","YMR279C"
"3206","Q03264","S+LYT","YMR285C"
"3207","Q03266","S+LYT","YMR289W"
"3208","Q03280","S+LYT","YDR457W"
"3209","Q03281","S+LYT","YDR458C"
"3210","Q03289","S+LYT","YDR459C"
"3211","Q03290","S+LYT","YDR460W"
"3212","Q03305","S+LYT","YDR465C"
"3213","Q03308","S+LYT","YPL045W"
"3214","Q03322","S+LYT","YDR468C"
"3215","Q03323","S+LYT","YDR469W"
"3216","Q03327","S+LYT","YDR470C"
"3217","Q03330","S+LYT","YGR252W"
"3218","Q03337","S+LYT","YDR472W"
"3219","Q03338","S+LYT","YDR473C"
"3220","Q03370","S+LYT","YDR479C"
"3221","Q03375","S+LYT","YDR482C"
"3222","Q03388","S+LYT","YDR485C"
"3223","Q03390","S+LYT","YDR486C"
"3224","Q03406","S+LYT","YDR489W"
"3225","Q03407","S+LYT","YDR490C"
"3226","Q03419","S+LYT","YDR492W"
"3227","Q03429","S+LYT","YDR493W"
"3228","Q03435","S+LYT","YDL002C"
"3229","Q03441","S+LYT","YDL001W"
"3230","Q03446","S+LYT","YDR003W"
"3231","Q03455","S+LYT","YDR205W"
"3232","Q03465","S+LYT","YDL020C"
"3233","Q03496","S+LYT","YMR259C"
"3234","Q03497","S+LYT","YHL007C"
"3235","Q03503","S+LYT","YPR051W"
"3236","Q03508","S+LYT","YMR265C"
"3237","Q03516","S+LYT","YMR266W"
"3238","Q03525","S+LYT","YMR269W"
"3239","Q03529","S+LYT","YMR272C"
"3240","Q03530","S+LYT","YMR274C"
"3241","Q03532","S+LYT","YMR290C"
"3242","Q03554","S+LYT","YMR292W"
"3243","Q03557","S+LYT","YMR293C"
"3244","Q03558","S+LYT","YHR179W"
"3245","Q03559","S+LYT","YMR295C"
"3246","Q03629","S+LYT","YML079W"
"3247","Q03630","S+LYT","YML077W"
"3248","Q03631","S+LYT","YML076C"
"3249","Q03649","S+LYT","YMR210W"
"3250","Q03652","S+LYT","YMR211W"
"3251","Q03653","S+LYT","YMR212C"
"3252","Q03654","S+LYT","YMR213W"
"3253","Q03655","S+LYT","YMR215W"
"3254","Q03656","S+LYT","YMR216C"
"3255","Q03660","S+LYT","YMR218C"
"3256","Q03667","S+LYT","YMR002W"
"3257","Q03673","S+LYT","YMR003W"
"3258","Q03674","S+LYT","YMR006C"
"3259","Q03677","S+LYT","YMR009W"
"3260","Q03687","S+LYT","YMR010W"
"3261","Q03690","S+LYT","YMR012W"
"3262","Q03691","S+LYT","YMR200W"
"3263","Q03697","S+LYT","YML038C"
"3264","Q03702","S+LYT","YKL011C"
"3265","Q03705","S+LYT","YML036W"
"3266","Q03707","S+LYT","YML034W"
"3267","Q03713","S+LYT","YML030W"
"3268","Q03722","S+LYT","YML020W"
"3269","Q03730","S+LYT","YML018C"
"3270","Q03750","S+LYT","YML114C"
"3271","Q03761","S+LYT","YDR145W"
"3272","Q03764","S+LYT","YDR147W"
"3273","Q03768","S+LYT","YDR152W"
"3274","Q03770","S+LYT","YDR160W"
"3275","Q03771","S+LYT","YDR161W"
"3276","Q03774","S+LYT","YDR165W"
"3277","Q03778","S+LYT","YDR236C"
"3278","Q03784","S+LYT","YDR246W"
"3279","Q03785","S+LYT","YDR247W"
"3280","Q03786","S+LYT","YDR248C"
"3281","Q03790","S+LYT","YMR153W"
"3282","Q03795","S+LYT","YMR155W"
"3283","Q03796","S+LYT","YMR156C"
"3284","Q03799","S+LYT","YMR158W"
"3285","Q03818","S+LYT","YMR159C"
"3286","Q03825","S+LYT","YMR164C"
"3287","Q03829","S+LYT","YMR166C"
"3288","Q03834","S+LYT","YDR097C"
"3289","Q03835","S+LYT","YDR098C"
"3290","Q03860","S+LYT","YDR100W"
"3291","Q03862","S+LYT","YDR101C"
"3292","Q03868","S+LYT","YDR104C"
"3293","Q03880","S+LYT","YMR123W"
"3294","Q03897","S+LYT","YDR128W"
"3295","Q03900","S+LYT","YDR132C"
"3296","Q03919","S+LYT","YDR139C"
"3297","Q03920","S+LYT","YDR140W"
"3298","Q03921","S+LYT","YDR141C"
"3299","Q03940","S+LYT","YDR190C"
"3300","Q03941","S+LYT","YDR196C"
"3301","Q03942","S+LYT","YDR198C"
"3302","Q03944","S+LYT","YDR200C"
"3303","Q03957","S+LYT","YKL139W"
"3304","Q03973","S+LYT","YDR174W"
"3305","Q03976","S+LYT","YDR175C"
"3306","Q03983","S+LYT","YDR179W-A"
"3307","Q04002","S+LYT","YDR180W"
"3308","Q04004","S+LYT","YDR183W"
"3309","Q04006","S+LYT","YDR185C"
"3310","Q04013","S+LYT","YMR241W"
"3311","Q04018","S+LYT","YMR244W"
"3312","Q04031","S+LYT","YDR412W"
"3313","Q04033","S+LYT","YDR415C"
"3314","Q04048","S+LYT","YDR416W"
"3315","Q04049","S+LYT","YDR419W"
"3316","Q04052","S+LYT","YDR421W"
"3317","Q04062","S+LYT","YDR427W"
"3318","Q04066","S+LYT","YDR428C"
"3319","Q04067","S+LYT","YDR429C"
"3320","Q04080","S+LYT","YDR434W"
"3321","Q04081","S+LYT","YDR435C"
"3322","Q04082","S+LYT","YDR437W"
"3323","Q04089","S+LYT","YDR440W"
"3324","Q04116","S+LYT","YDR451C"
"3325","Q04119","S+LYT","YDR452W"
"3326","Q04120","S+LYT","YDR453C"
"3327","Q04121","S+LYT","YDR456W"
"3328","Q04149","S+LYT","YDR386W"
"3329","Q04172","S+LYT","YDR393W"
"3330","Q04174","S+LYT","YOR149C"
"3331","Q04177","S+LYT","YDR398W"
"3332","Q04179","S+LYT","YDR400W"
"3333","Q04182","S+LYT","YDR406W"
"3334","Q04183","S+LYT","YDR407C"
"3335","Q04195","S+LYT","YDR409W"
"3336","Q04199","S+LYT","YML102W"
"3337","Q04201","S+LYT","YML101C"
"3338","Q04212","S+LYT","YMR041C"
"3339","Q04213","S+LYT","YMR044W"
"3340","Q04216","S+LYT","YMR126C"
"3341","Q04217","S+LYT","YMR128W"
"3342","Q04225","S+LYT","YMR131C"
"3343","Q04226","S+LYT","YML015C"
"3344","Q04235","S+LYT","YML005W"
"3345","Q04264","S+LYT","YMR076C"
"3346","Q04272","S+LYT","YMR077C"
"3347","Q04301","S+LYT","YMR088C"
"3348","Q04305","S+LYT","YMR093W"
"3349","Q04307","S+LYT","YDR045C"
"3350","Q04311","S+LYT","YDR049W"
"3351","Q04322","S+LYT","YMR192W"
"3352","Q04336","S+LYT","YMR196W"
"3353","Q04338","S+LYT","YMR197C"
"3354","Q04341","S+LYT","YDR031W"
"3355","Q04344","S+LYT","YDL125C"
"3356","Q04347","S+LYT","YMR014W"
