Orthogroup	A_s288c	K.marxianus	L.fermentati	Z.rouxii
OG0000077	P16861, P16862	KMXK_0A05230, KMXK_0F01020	tr|A0A1G4M956|A0A1G4M956_LACFM, tr|A0A1G4MJ32|A0A1G4MJ32_LACFM	tr|C5DRF9|C5DRF9_ZYGRC, tr|C5DVS9|C5DVS9_ZYGRC
OG0000078	Q03516, Q12252	KMXK_0B00760, KMXK_0C03930	tr|A0A1G4MAA5|A0A1G4MAA5_LACFM, tr|A0A1G4MHQ0|A0A1G4MHQ0_LACFM	tr|C5DR65|C5DR65_ZYGRC, tr|C5E0L1|C5E0L1_ZYGRC
OG0000079	P15938, P24384	KMXK_0A04290, KMXK_0H03150	tr|A0A1G4MEH0|A0A1G4MEH0_LACFM, tr|A0A1G4MF11|A0A1G4MF11_LACFM	tr|C5DNV5|C5DNV5_ZYGRC, tr|C5DWI7|C5DWI7_ZYGRC
OG0000080	P07271, P38766	KMXK_0E01790, KMXK_0E03710	tr|A0A1G4M6E1|A0A1G4M6E1_LACFM, tr|A0A1G4M6R4|A0A1G4M6R4_LACFM	tr|C5DS62|C5DS62_ZYGRC, tr|C5E0W3|C5E0W3_ZYGRC
OG0000081	P39925, P40341	KMXK_0B01630, KMXK_0H03100	tr|A0A1G4MEQ8|A0A1G4MEQ8_LACFM, tr|A0A1G4ML15|A0A1G4ML15_LACFM	tr|C5DWJ2|C5DWJ2_ZYGRC, tr|C5DZC4|C5DZC4_ZYGRC
OG0000082	P36018, P38146	KMXK_0A02300, KMXK_0E00570	tr|A0A1G4MF01|A0A1G4MF01_LACFM, tr|A0A1G4MKK1|A0A1G4MKK1_LACFM	tr|C5DRK4|C5DRK4_ZYGRC, tr|C5E1J0|C5E1J0_ZYGRC
OG0000083	P32804, Q12436	KMXK_0E04930	tr|A0A1G4M763|A0A1G4M763_LACFM, tr|A0A1G4MCA8|A0A1G4MCA8_LACFM, tr|A0A1G4MJU3|A0A1G4MJU3_LACFM	tr|C5DWU9|C5DWU9_ZYGRC, tr|C5DX48|C5DX48_ZYGRC
OG0000084	P31382, P42934	KMXK_0C02330, KMXK_0D02810	tr|A0A1G4M7F8|A0A1G4M7F8_LACFM, tr|A0A1G4MC65|A0A1G4MC65_LACFM	tr|C5DVB0|C5DVB0_ZYGRC, tr|C5E0C9|C5E0C9_ZYGRC
OG0000085	P52910, Q01574	KMXK_0C06020, KMXK_0E05360	tr|A0A1G4MCL2|A0A1G4MCL2_LACFM, tr|A0A1G4MJU6|A0A1G4MJU6_LACFM	tr|C5DSJ7|C5DSJ7_ZYGRC, tr|C5DYN3|C5DYN3_ZYGRC
OG0000086	P47771, P54114	KMXK_0B06870, KMXK_0B06880	tr|A0A1G4MDD6|A0A1G4MDD6_LACFM, tr|A0A1G4MDK2|A0A1G4MDK2_LACFM	tr|C5DPY8|C5DPY8_ZYGRC, tr|C5DPY9|C5DPY9_ZYGRC
OG0000087	P19414, P39533	KMXK_0A07020, KMXK_0C03060	tr|A0A1G4MAY9|A0A1G4MAY9_LACFM, tr|A0A1G4MGT4|A0A1G4MGT4_LACFM	tr|C5DUM4|C5DUM4_ZYGRC, tr|C5E1M3|C5E1M3_ZYGRC
OG0000088		KMXK_0A03260, KMXK_0C00160	tr|A0A1G4M665|A0A1G4M665_LACFM, tr|A0A1G4M7A1|A0A1G4M7A1_LACFM, tr|A0A1G4MEG4|A0A1G4MEG4_LACFM, tr|A0A1G4MJD6|A0A1G4MJD6_LACFM	tr|C5DUN9|C5DUN9_ZYGRC, tr|C5E1Q0|C5E1Q0_ZYGRC
OG0000089	P38212, Q03446	KMXK_0F04480, KMXK_0F04490	tr|A0A1G4M9V9|A0A1G4M9V9_LACFM, tr|A0A1G4MA77|A0A1G4MA77_LACFM	tr|C5DPM9|C5DPM9_ZYGRC
OG0000090	P05738, P51401	KMXK_0F00270, KMXK_0G01050	tr|A0A1G4MDU0|A0A1G4MDU0_LACFM, tr|A0A1G4MDU5|A0A1G4MDU5_LACFM	tr|C5DXV2|C5DXV2_ZYGRC
OG0000091	P42883, P43534, P47183, Q07748	KMXK_0D00180	tr|A0A1G4M721|A0A1G4M721_LACFM	tr|C5DQF1|C5DQF1_ZYGRC
OG0000092	P26343	KMXK_0D02550, KMXK_0F02700	tr|A0A1G4M857|A0A1G4M857_LACFM, tr|A0A1G4M8Q0|A0A1G4M8Q0_LACFM	tr|C5DV50|C5DV50_ZYGRC, tr|C5DXA7|C5DXA7_ZYGRC
OG0000093	P08640, Q12140	KMXK_0B04410, KMXK_0E04130, KMXK_0H02550	tr|A0A1G4M7J7|A0A1G4M7J7_LACFM	tr|C5DP28|C5DP28_ZYGRC
OG0000094	P00890, P08679, P43635	KMXK_0H04430	tr|A0A1G4MFA4|A0A1G4MFA4_LACFM	tr|C5DXE7|C5DXE7_ZYGRC, tr|C5E4A5|C5E4A5_ZYGRC
OG0000095	P50277	KMXK_0B08460, KMXK_0E06300	tr|A0A1G4M7L5|A0A1G4M7L5_LACFM	tr|C5DP38|C5DP38_ZYGRC, tr|C5DSH5|C5DSH5_ZYGRC, tr|C5E3U3|C5E3U3_ZYGRC
OG0000096	P38067	KMXK_0C01370, KMXK_0F04460	tr|A0A1G4MA67|A0A1G4MA67_LACFM, tr|A0A1G4MKC3|A0A1G4MKC3_LACFM	tr|C5DPN0|C5DPN0_ZYGRC, tr|C5E016|C5E016_ZYGRC
OG0000097	P32319, P40438, P40890, P53751	KMXK_0B00510	tr|A0A1G4MKD2|A0A1G4MKD2_LACFM	sp|C5DU19|VPS10_ZYGRC
OG0000098	P25379	KMXK_0A08300, KMXK_0B06500	tr|A0A1G4MGM1|A0A1G4MGM1_LACFM, tr|A0A1G4MIZ1|A0A1G4MIZ1_LACFM	tr|C5DYU2|C5DYU2_ZYGRC, tr|C5DZ64|C5DZ64_ZYGRC
OG0000099	P53753, Q12168	KMXK_0B01970, KMXK_0E05210	tr|A0A1G4MD25|A0A1G4MD25_LACFM, tr|A0A1G4MJW7|A0A1G4MJW7_LACFM	tr|C5DYL8|C5DYL8_ZYGRC
OG0000100	P29547, P36008	KMXK_0F03950	tr|A0A1G4MAU9|A0A1G4MAU9_LACFM, tr|A0A1G4MIH8|A0A1G4MIH8_LACFM	tr|C5DXX1|C5DXX1_ZYGRC, tr|C5E3X5|C5E3X5_ZYGRC
OG0000101	P06208, Q12166	KMXK_0E04070, KMXK_0F03480	tr|A0A1G4MEV8|A0A1G4MEV8_LACFM	tr|C5DRM6|C5DRM6_ZYGRC, tr|C5DT42|C5DT42_ZYGRC
OG0000102	P27705, P53035	KMXK_0D06500	tr|A0A1G4MG54|A0A1G4MG54_LACFM, tr|A0A1G4MKP8|A0A1G4MKP8_LACFM	tr|C5E035|C5E035_ZYGRC, tr|C5E4S6|C5E4S6_ZYGRC
OG0000103	P36044, P40355	KMXK_0C00540, KMXK_0C00560	tr|A0A1G4MAF7|A0A1G4MAF7_LACFM, tr|A0A1G4MAL3|A0A1G4MAL3_LACFM	tr|C5E1V7|C5E1V7_ZYGRC
OG0000104	P36110, P47032	KMXK_0A02270, KMXK_0A02280	tr|A0A1G4MAA1|A0A1G4MAA1_LACFM, tr|A0A1G4MKM6|A0A1G4MKM6_LACFM	tr|C5E1I8|C5E1I8_ZYGRC
OG0000105	P23250	KMXK_0B01780	tr|A0A1G4M899|A0A1G4M899_LACFM, tr|A0A1G4M8P7|A0A1G4M8P7_LACFM, tr|A0A1G4M9E7|A0A1G4M9E7_LACFM, tr|A0A1G4MBB9|A0A1G4MBB9_LACFM, tr|A0A1G4MJL3|A0A1G4MJL3_LACFM	
OG0000106	P32331	KMXK_0D01060, KMXK_0G03390	tr|A0A1G4MBP8|A0A1G4MBP8_LACFM, tr|A0A1G4MCH5|A0A1G4MCH5_LACFM	tr|C5DQI0|C5DQI0_ZYGRC, tr|C5DUE4|C5DUE4_ZYGRC
OG0000107	P39529, P40467	KMXK_0A07110, KMXK_0F00320	tr|A0A1G4MDV0|A0A1G4MDV0_LACFM, tr|A0A1G4MGS8|A0A1G4MGS8_LACFM	tr|C5DUM9|C5DUM9_ZYGRC
OG0000108	Q04814	KMXK_0D03110, KMXK_0G03280	tr|A0A1G4MCW5|A0A1G4MCW5_LACFM, tr|A0A1G4MFP9|A0A1G4MFP9_LACFM	tr|C5E0J5|C5E0J5_ZYGRC, tr|C5E4E2|C5E4E2_ZYGRC
OG0000109		KMXK_0A01360, KMXK_0C00170	tr|A0A1G4M761|A0A1G4M761_LACFM, tr|A0A1G4MAQ4|A0A1G4MAQ4_LACFM, tr|A0A1G4MIY3|A0A1G4MIY3_LACFM	tr|C5DQ39|C5DQ39_ZYGRC, tr|C5DUP2|C5DUP2_ZYGRC
OG0000110		KMXK_0B00170, KMXK_0H01010, KMXK_0H01020	tr|A0A1G4ME86|A0A1G4ME86_LACFM, tr|A0A1G4MIK1|A0A1G4MIK1_LACFM	tr|C5DP76|C5DP76_ZYGRC, tr|C5DXZ8|C5DXZ8_ZYGRC
OG0000111		KMXK_0B00840, KMXK_0B00850, KMXK_0F05840, KMXK_0G04310, KMXK_0H04180, KMXK_0H04190, KMXK_0H04200		
OG0000112	P10870, Q12300	KMXK_0F00570	tr|A0A1G4M7A3|A0A1G4M7A3_LACFM, tr|A0A1G4M7L0|A0A1G4M7L0_LACFM	tr|C5DXK4|C5DXK4_ZYGRC
OG0000113	P25611, Q12244		tr|A0A1G4MAT6|A0A1G4MAT6_LACFM, tr|A0A1G4MCQ9|A0A1G4MCQ9_LACFM, tr|A0A1G4MEF6|A0A1G4MEF6_LACFM, tr|A0A1G4MIW3|A0A1G4MIW3_LACFM	
OG0000114	P43544, P53823, Q03144	KMXK_0C07320	tr|A0A1G4ML04|A0A1G4ML04_LACFM	tr|C5DZB8|C5DZB8_ZYGRC
OG0000115	P14359, P56508	KMXK_0A08100	tr|A0A1G4MAB7|A0A1G4MAB7_LACFM, tr|A0A1G4MGP1|A0A1G4MGP1_LACFM	tr|C5DUX0|C5DUX0_ZYGRC
OG0000116	Q03770	KMXK_0C03460, KMXK_0E05110	tr|A0A1G4MI49|A0A1G4MI49_LACFM, tr|A0A1G4MJX6|A0A1G4MJX6_LACFM	tr|C5DYK8|C5DYK8_ZYGRC
OG0000117	P43545, P53824, Q03148	KMXK_0C07310	tr|A0A1G4MKV8|A0A1G4MKV8_LACFM	tr|C5DZB7|C5DZB7_ZYGRC
OG0000118	Q04432, Q04902, Q08914, Q08992	KMXK_0G00270	tr|A0A1G4MDJ5|A0A1G4MDJ5_LACFM	
OG0000119	P32486, P33336	KMXK_0B05640	tr|A0A1G4MG95|A0A1G4MG95_LACFM	tr|C5DU13|C5DU13_ZYGRC, tr|C5DU14|C5DU14_ZYGRC
OG0000120	P20840	KMXK_0G00800	tr|A0A1G4M773|A0A1G4M773_LACFM, tr|A0A1G4MC95|A0A1G4MC95_LACFM, tr|A0A1G4MJ16|A0A1G4MJ16_LACFM	tr|C5DNT9|C5DNT9_ZYGRC
OG0000121	Q06490, Q08224, Q08975	KMXK_0C00500	tr|A0A1G4MH94|A0A1G4MH94_LACFM	tr|C5DPQ6|C5DPQ6_ZYGRC
OG0000122	P28319	KMXK_0E02190	tr|A0A1G4MFC8|A0A1G4MFC8_LACFM	tr|C5E1B6|C5E1B6_ZYGRC, tr|C5E1B8|C5E1B8_ZYGRC, tr|C5E1B9|C5E1B9_ZYGRC
OG0000123	P39976, P46681	KMXK_0F00800	tr|A0A1G4M7N7|A0A1G4M7N7_LACFM, tr|A0A1G4M8W1|A0A1G4M8W1_LACFM	tr|C5DTK2|C5DTK2_ZYGRC
OG0000124	P11076, P19146	KMXK_0F00590	tr|A0A1G4M7L7|A0A1G4M7L7_LACFM, tr|A0A1G4M824|A0A1G4M824_LACFM	tr|C5DXK2|C5DXK2_ZYGRC
OG0000125	P53630	KMXK_0E06310	tr|A0A1G4M771|A0A1G4M771_LACFM	tr|C5DP37|C5DP37_ZYGRC, tr|C5DSH6|C5DSH6_ZYGRC, tr|C5E3U4|C5E3U4_ZYGRC
OG0000126	P40579, P40580	KMXK_0D03880	tr|A0A1G4MAQ8|A0A1G4MAQ8_LACFM	tr|C5DP49|C5DP49_ZYGRC, tr|C5DUQ4|C5DUQ4_ZYGRC
OG0000127	P30605, P30606	KMXK_0G02840	tr|A0A1G4M9Y5|A0A1G4M9Y5_LACFM, tr|A0A1G4MCF2|A0A1G4MCF2_LACFM	tr|C5DR99|C5DR99_ZYGRC
OG0000128	Q06147, Q12246	KMXK_0D02210	tr|A0A1G4MCE9|A0A1G4MCE9_LACFM, tr|A0A1G4MCI5|A0A1G4MCI5_LACFM	tr|C5DTB4|C5DTB4_ZYGRC
OG0000129	P32835, P32836	KMXK_0A06330, KMXK_0E01420	tr|A0A1G4M9P8|A0A1G4M9P8_LACFM	tr|C5DWH1|C5DWH1_ZYGRC
OG0000130	P38697, P50094, P50095	KMXK_0E01890	tr|A0A1G4M6D9|A0A1G4M6D9_LACFM	tr|C5DS52|C5DS52_ZYGRC
OG0000131	P53389	KMXK_0D00130, KMXK_0G00810	tr|A0A1G4M6T6|A0A1G4M6T6_LACFM, tr|A0A1G4M6U5|A0A1G4M6U5_LACFM, tr|A0A1G4MKT5|A0A1G4MKT5_LACFM	
OG0000132	P36111, P47053, Q08118	KMXK_0D03160	tr|A0A1G4MF64|A0A1G4MF64_LACFM	tr|C5E4E6|C5E4E6_ZYGRC
OG0000133	P32643	KMXK_0C02830	tr|A0A1G4MKD0|A0A1G4MKD0_LACFM	tr|C5DRW7|C5DRW7_ZYGRC, tr|C5DRW8|C5DRW8_ZYGRC, tr|C5E4Z6|C5E4Z6_ZYGRC
OG0000134	Q03010, Q12206, Q12363	KMXK_0B07990	tr|A0A1G4MHI9|A0A1G4MHI9_LACFM	tr|C5DXP8|C5DXP8_ZYGRC
OG0000135	P40574, Q08182, Q08187	KMXK_0E04140	tr|A0A1G4MHW2|A0A1G4MHW2_LACFM	tr|C5DZG6|C5DZG6_ZYGRC
OG0000136	P47161	KMXK_0D05440, KMXK_0E05000	tr|A0A1G4M6D4|A0A1G4M6D4_LACFM, tr|A0A1G4MJY2|A0A1G4MJY2_LACFM	tr|C5DS90|C5DS90_ZYGRC
OG0000137	P25370, Q04408	KMXK_0A07960, KMXK_0A07970	tr|A0A1G4MGQ8|A0A1G4MGQ8_LACFM	tr|C5DZ30|C5DZ30_ZYGRC
OG0000138	P14065, Q12458	KMXK_0B06330, KMXK_0C00180	tr|A0A1G4MEW5|A0A1G4MEW5_LACFM	tr|C5DY39|C5DY39_ZYGRC
OG0000139	P25346	KMXK_0C06010, KMXK_0C06710	tr|A0A1G4M667|A0A1G4M667_LACFM, tr|A0A1G4MFW6|A0A1G4MFW6_LACFM	tr|C5DW79|C5DW79_ZYGRC
OG0000140	P25621	KMXK_0A04930, KMXK_0B08410	tr|A0A1G4M924|A0A1G4M924_LACFM, tr|A0A1G4MGV8|A0A1G4MGV8_LACFM	tr|C5DWR8|C5DWR8_ZYGRC
OG0000141	P38195, P47152	KMXK_0H00910	tr|A0A1G4MBB7|A0A1G4MBB7_LACFM, tr|A0A1G4MIJ1|A0A1G4MIJ1_LACFM	tr|C5E142|C5E142_ZYGRC
OG0000142	P13587, Q01896, Q12691	KMXK_0D02270	tr|A0A1G4MJN9|A0A1G4MJN9_LACFM	tr|C5E4K8|C5E4K8_ZYGRC
OG0000143	Q08268	KMXK_0A04510	tr|A0A1G4ML53|A0A1G4ML53_LACFM, tr|A0A1G4ML64|A0A1G4ML64_LACFM	tr|C5DSR8|C5DSR8_ZYGRC, tr|C5DSR9|C5DSR9_ZYGRC
OG0000144	P07249, P11746	KMXK_0D03280	tr|A0A1G4MJJ5|A0A1G4MJJ5_LACFM	tr|C5DWY7|C5DWY7_ZYGRC, tr|C5DWY8|C5DWY8_ZYGRC
OG0000145	P15380	KMXK_0C00190, KMXK_0F03530	tr|A0A1G4MC34|A0A1G4MC34_LACFM, tr|A0A1G4MJ54|A0A1G4MJ54_LACFM	tr|C5DUP3|C5DUP3_ZYGRC
OG0000146	P32901	KMXK_0H03770, KMXK_0H03780, KMXK_0H03790	tr|A0A1G4M6H7|A0A1G4M6H7_LACFM	tr|C5DZR9|C5DZR9_ZYGRC
OG0000147	P25608, P53912, P54007	KMXK_0F03070	tr|A0A1G4MHW6|A0A1G4MHW6_LACFM	tr|C5DZP0|C5DZP0_ZYGRC
OG0000148	Q05016	KMXK_0E03010, KMXK_0E04540	tr|A0A1G4M848|A0A1G4M848_LACFM, tr|A0A1G4MDA9|A0A1G4MDA9_LACFM	tr|C5DPS5|C5DPS5_ZYGRC
OG0000149	P40445	KMXK_0B02990	tr|A0A1G4MGF8|A0A1G4MGF8_LACFM, tr|A0A1G4MIZ7|A0A1G4MIZ7_LACFM	tr|C5DP48|C5DP48_ZYGRC, tr|C5DWW9|C5DWW9_ZYGRC
OG0000150	Q12235	KMXK_0A00140, KMXK_0D00330	tr|A0A1G4M8T1|A0A1G4M8T1_LACFM, tr|A0A1G4MJ13|A0A1G4MJ13_LACFM	tr|C5E4Z8|C5E4Z8_ZYGRC
OG0000151	P28625	KMXK_0C04080	tr|A0A1G4MAL0|A0A1G4MAL0_LACFM, tr|A0A1G4MAV6|A0A1G4MAV6_LACFM, tr|A0A1G4MAZ0|A0A1G4MAZ0_LACFM	sp|C5DQ20|YIM1_ZYGRC
OG0000152	P04385, P13045	KMXK_0B03480	tr|A0A1G4MKZ1|A0A1G4MKZ1_LACFM, tr|A0A1G4ML08|A0A1G4ML08_LACFM	tr|C5DPK7|C5DPK7_ZYGRC
OG0000153	P53090	KMXK_0B02740, KMXK_0E01570	tr|A0A1G4MAW3|A0A1G4MAW3_LACFM, tr|A0A1G4MG74|A0A1G4MG74_LACFM	tr|C5DT73|C5DT73_ZYGRC
OG0000154	Q02895	KMXK_0D01720	tr|A0A1G4MGM9|A0A1G4MGM9_LACFM	tr|C5DP45|C5DP45_ZYGRC, tr|C5DV02|C5DV02_ZYGRC, tr|C5DXG4|C5DXG4_ZYGRC
OG0000155	P25377, Q04894	KMXK_0G03470	tr|A0A1G4M7E2|A0A1G4M7E2_LACFM, tr|A0A1G4MB31|A0A1G4MB31_LACFM	tr|C5E073|C5E073_ZYGRC
OG0000156		KMXK_0A01830	tr|A0A1G4MEE7|A0A1G4MEE7_LACFM, tr|A0A1G4MEP6|A0A1G4MEP6_LACFM, tr|A0A1G4ML17|A0A1G4ML17_LACFM	tr|C5DPK2|C5DPK2_ZYGRC, tr|C5DQH8|C5DQH8_ZYGRC
OG0000157		KMXK_0B00160, KMXK_0F05790	tr|A0A1G4MD20|A0A1G4MD20_LACFM	tr|C5DSI3|C5DSI3_ZYGRC, tr|C5DWV2|C5DWV2_ZYGRC, tr|C5E1N2|C5E1N2_ZYGRC
OG0000158		KMXK_0B03490, KMXK_0E02710	tr|A0A1G4MDS9|A0A1G4MDS9_LACFM, tr|A0A1G4ML95|A0A1G4ML95_LACFM	tr|C5DPX6|C5DPX6_ZYGRC, tr|C5E1H6|C5E1H6_ZYGRC
OG0000159		KMXK_0C00230	tr|A0A1G4M941|A0A1G4M941_LACFM, tr|A0A1G4MIU8|A0A1G4MIU8_LACFM	tr|C5DUN6|C5DUN6_ZYGRC, tr|C5DYU3|C5DYU3_ZYGRC, tr|C5DZ65|C5DZ65_ZYGRC
OG0000160		KMXK_0E00240, KMXK_0E03330	tr|A0A1G4MC80|A0A1G4MC80_LACFM, tr|A0A1G4MCQ7|A0A1G4MCQ7_LACFM	tr|C5DQH5|C5DQH5_ZYGRC, tr|C5E0G8|C5E0G8_ZYGRC
OG0000161	P11154, P32327	KMXK_0A06050	tr|A0A1G4M9L8|A0A1G4M9L8_LACFM	tr|C5DT23|C5DT23_ZYGRC
OG0000162	P0CX27, P0CX28	KMXK_0B07760	tr|A0A1G4MJU1|A0A1G4MJU1_LACFM	tr|C5DZK5|C5DZK5_ZYGRC
OG0000163	P21538, Q12457	KMXK_0F00220	tr|A0A1G4MCL0|A0A1G4MCL0_LACFM	tr|C5DPH0|C5DPH0_ZYGRC
OG0000164	Q12192	KMXK_0A05510	tr|A0A1G4MCW7|A0A1G4MCW7_LACFM	tr|C5DPT9|C5DPT9_ZYGRC, tr|C5DYJ7|C5DYJ7_ZYGRC
OG0000165	P40474, P40475	KMXK_0G01840	tr|A0A1G4MDT6|A0A1G4MDT6_LACFM	tr|C5DP94|C5DP94_ZYGRC
OG0000166	P01119, P01120	KMXK_0G02360	tr|A0A1G4MEW7|A0A1G4MEW7_LACFM	tr|C5DRL5|C5DRL5_ZYGRC
OG0000167	P39083, Q06407	KMXK_0B06140	tr|A0A1G4MET2|A0A1G4MET2_LACFM	tr|C5DZH4|C5DZH4_ZYGRC
OG0000168	P06780	KMXK_0H02680	tr|A0A1G4MIN3|A0A1G4MIN3_LACFM, tr|A0A1G4MJ47|A0A1G4MJ47_LACFM	tr|C5DUU4|C5DUU4_ZYGRC
OG0000169	Q02753, Q12672	KMXK_0A00700	tr|A0A1G4MI83|A0A1G4MI83_LACFM	tr|C5DP07|C5DP07_ZYGRC
OG0000170	P0CX41, P0CX42	KMXK_0H01530	tr|A0A1G4M8F9|A0A1G4M8F9_LACFM	tr|C5DQY3|C5DQY3_ZYGRC
OG0000171	P0C2H8, P0C2H9	KMXK_0D04740	tr|A0A1G4MD35|A0A1G4MD35_LACFM	tr|C5DS08|C5DS08_ZYGRC
OG0000172	P48361, Q06108	KMXK_0E04370	tr|A0A1G4MB55|A0A1G4MB55_LACFM	tr|C5DTZ8|C5DTZ8_ZYGRC
OG0000173	P0CX23, P0CX24	KMXK_0B03340	tr|A0A1G4M6I7|A0A1G4M6I7_LACFM	tr|C5DYF3|C5DYF3_ZYGRC
OG0000174	P0C2H6, P0C2H7	KMXK_0B05750	tr|A0A1G4MG86|A0A1G4MG86_LACFM	tr|C5DT95|C5DT95_ZYGRC
OG0000175	P05743, P53221	KMXK_0E01990	tr|A0A1G4M8B1|A0A1G4M8B1_LACFM	tr|C5DNY3|C5DNY3_ZYGRC
OG0000176	P0CX45, P0CX46	KMXK_0E04750	tr|A0A1G4MBJ0|A0A1G4MBJ0_LACFM	tr|C5DWK9|C5DWK9_ZYGRC
OG0000177	P26784, P26785	KMXK_0F00350	tr|A0A1G4MDZ9|A0A1G4MDZ9_LACFM	tr|C5DP82|C5DP82_ZYGRC
OG0000178	Q04195, Q12216	KMXK_0C06500	tr|A0A1G4MGG4|A0A1G4MGG4_LACFM	tr|C5DW57|C5DW57_ZYGRC
OG0000179	P38858, P53315	KMXK_0A05310	tr|A0A1G4MJ23|A0A1G4MJ23_LACFM	tr|C5DTU9|C5DTU9_ZYGRC
OG0000180	P38789, Q12153	KMXK_0C05450	tr|A0A1G4M8X5|A0A1G4M8X5_LACFM	tr|C5DU65|C5DU65_ZYGRC
OG0000181	P32867, P39926	KMXK_0H02190	tr|A0A1G4M9A4|A0A1G4M9A4_LACFM	tr|C5E4P7|C5E4P7_ZYGRC
OG0000182	P38704, Q00947	KMXK_0B02690	tr|A0A1G4MG12|A0A1G4MG12_LACFM	tr|C5DWD8|C5DWD8_ZYGRC
OG0000183	P33757	KMXK_0C03250, KMXK_0C03260	tr|A0A1G4M9I5|A0A1G4M9I5_LACFM	tr|C5E1L9|C5E1L9_ZYGRC
OG0000184	Q03281, Q03707	KMXK_0D05940	tr|A0A1G4MFS2|A0A1G4MFS2_LACFM	tr|C5DWD0|C5DWD0_ZYGRC
OG0000185	P39932	KMXK_0F03890	tr|A0A1G4MJH5|A0A1G4MJH5_LACFM	tr|C5E3Y2|C5E3Y2_ZYGRC, tr|C5E3Y3|C5E3Y3_ZYGRC
OG0000186	P16965, Q06177	KMXK_0D00580	tr|A0A1G4MAQ1|A0A1G4MAQ1_LACFM	tr|C5E0A6|C5E0A6_ZYGRC
OG0000187	P36085, P46679	KMXK_0F03770	tr|A0A1G4MJB6|A0A1G4MJB6_LACFM	tr|C5E3Z7|C5E3Z7_ZYGRC
OG0000188	P38163, Q12038	KMXK_0H01280	tr|A0A1G4M8E5|A0A1G4M8E5_LACFM	tr|C5DYI6|C5DYI6_ZYGRC
OG0000189	P25390, P53599	KMXK_0H01970	tr|A0A1G4M911|A0A1G4M911_LACFM	tr|C5DVN7|C5DVN7_ZYGRC
OG0000190	P38359, Q12325	KMXK_0D01710	tr|A0A1G4MK28|A0A1G4MK28_LACFM	tr|C5DSM5|C5DSM5_ZYGRC
OG0000191	P25567, Q12034	KMXK_0A07980	tr|A0A1G4MGK6|A0A1G4MGK6_LACFM	tr|C5DZ31|C5DZ31_ZYGRC
OG0000192	P41930	KMXK_0A00530	tr|A0A1G4M6R2|A0A1G4M6R2_LACFM, tr|A0A1G4MIC8|A0A1G4MIC8_LACFM	tr|C5DYP2|C5DYP2_ZYGRC
OG0000193	Q05937, Q07351	KMXK_0B04070	tr|A0A1G4MD22|A0A1G4MD22_LACFM	tr|C5DRC8|C5DRC8_ZYGRC
OG0000194	P0CX25, P0CX26	KMXK_0H01050	tr|A0A1G4MFM9|A0A1G4MFM9_LACFM	tr|C5E128|C5E128_ZYGRC
OG0000195	Q07800, Q07949	KMXK_0C02230	tr|A0A1G4M6X3|A0A1G4M6X3_LACFM	tr|C5DRQ8|C5DRQ8_ZYGRC
OG0000196	P38227	KMXK_0E02360	tr|A0A1G4MCK2|A0A1G4MCK2_LACFM	tr|C5DPI1|C5DPI1_ZYGRC, tr|C5DXW1|C5DXW1_ZYGRC
OG0000197	P0CX84, P0CX85	KMXK_0F00600	tr|A0A1G4M7P9|A0A1G4M7P9_LACFM	tr|C5DXK1|C5DXK1_ZYGRC
OG0000198	P36002, P47116	KMXK_0E02260	tr|A0A1G4MA73|A0A1G4MA73_LACFM	tr|C5DZH6|C5DZH6_ZYGRC
OG0000199	P32900, P50078	KMXK_0F05150	tr|A0A1G4MAI1|A0A1G4MAI1_LACFM	tr|C5DSB3|C5DSB3_ZYGRC
OG0000200	O13577, Q04964	KMXK_0E01850	tr|A0A1G4M6E8|A0A1G4M6E8_LACFM	sp|C5DS56|DIF1_ZYGRC
OG0000201	P06700, P53685	KMXK_0C01840	tr|A0A1G4MCJ7|A0A1G4MCJ7_LACFM	tr|C5DR31|C5DR31_ZYGRC
OG0000202	Q08985, Q12525	KMXK_0G00600	tr|A0A1G4MHH4|A0A1G4MHH4_LACFM	tr|C5E0N3|C5E0N3_ZYGRC
OG0000203	P32564, Q06485	KMXK_0C06290	tr|A0A1G4M892|A0A1G4M892_LACFM	sp|C5DRF7|ATG33_ZYGRC
OG0000204	Q08986, Q12372	KMXK_0E02350	tr|A0A1G4MCW1|A0A1G4MCW1_LACFM	tr|C5DWV7|C5DWV7_ZYGRC
OG0000205	P40054, P40510	KMXK_0C04750	tr|A0A1G4M7Z7|A0A1G4M7Z7_LACFM	tr|C5DTI9|C5DTI9_ZYGRC
OG0000206	P38814, P42223	KMXK_0A01550	tr|A0A1G4MEU9|A0A1G4MEU9_LACFM	tr|C5DPV4|C5DPV4_ZYGRC
OG0000207	P53334, Q04951	KMXK_0G02080	tr|A0A1G4ME68|A0A1G4ME68_LACFM	tr|C5DVI5|C5DVI5_ZYGRC
OG0000208	P38314, P53172	KMXK_0A06130	tr|A0A1G4M9M8|A0A1G4M9M8_LACFM	tr|C5DT31|C5DT31_ZYGRC
OG0000209	P35210, P40578	KMXK_0F04240	tr|A0A1G4MAR4|A0A1G4MAR4_LACFM	tr|C5DUR0|C5DUR0_ZYGRC
OG0000210	P36024, Q08438	KMXK_0C02550	tr|A0A1G4MEA7|A0A1G4MEA7_LACFM	tr|C5DSD0|C5DSD0_ZYGRC
